vote_id,term,position,area,term_n,total_r,total_p
1,99,鄉民代表,南投縣仁愛鄉,99,0,38600
2,99,里長,基隆市,99,0,0
3,99年,村長,南投縣仁愛鄉,99,0,0
4,99年,村長,南投縣仁愛鄉,99,67600,98740
5,99年,村長,南投縣仁愛鄉,99,0,0
6,99年,村長,南投縣仁愛鄉,99,64000,65700
7,99年,鄉民代表,南投縣仁愛鄉,99,0,11829
8,99年,鄉民代表,南投縣仁愛鄉,99,0,91800
9,99年,鄉民代表,南投縣仁愛鄉,99,0,0
10,99年,鄉民代表,南投縣仁愛鄉,99,0,97672
11,99年,鄉民代表,南投縣仁愛鄉,99,0,0
12,99年,鄉民代表,南投縣仁愛鄉,99,0,141906
13,99年,鄉民代表,南投縣仁愛鄉,99,0,194442
14,99年,鄉民代表,南投縣仁愛鄉,99,20300,20300
15,99年,鄉民代表,南投縣仁愛鄉,99,0,34151
16,99年,村長,南投縣信義鄉,99,35000,57360
17,99年,鄉民代表,南投縣信義鄉,99,99200,139601
18,99年,市民代表,南投縣南投市,99,84000,185637
19,99年,市民代表,南投縣南投市,99,206003,230765
20,99年,市民代表,南投縣南投市,99,330414,374198
21,99年,村長,南投縣國姓鄉,99,51000,53500
22,99年,鄉民代表,南投縣國姓鄉,99,251000,418839
23,99年,鄉民代表,南投縣國姓鄉,99,0,222230
24,99年,鎮民代表,南投縣埔里鎮,99,0,0
25,99年,鎮民代表,南投縣埔里鎮,99,0,0
26,99年,鎮民代表,南投縣埔里鎮,99,0,0
27,99年,鎮民代表,南投縣埔里鎮,99,0,0
28,99年,鎮民代表,南投縣埔里鎮,99,0,0
29,99年,鎮民代表,南投縣埔里鎮,99,479309,530610
30,99年,鎮民代表,南投縣竹山鎮,99,380000,409069
31,99年,鎮民代表,南投縣竹山鎮,99,644950,645693
32,99年,里長,南投縣草屯鎮,99,0,0
33,99年,鎮民代表,南投縣草屯鎮,99,0,0
34,99年,鎮民代表,南投縣草屯鎮,99,225002,540321
35,99年,村長,南投縣魚池鄉,99,200000,214100
36,99年,鄉民代表,南投縣魚池鄉,99,200000,264857
37,99年,鄉民代表,南投縣魚池鄉,99,34000,45357
38,99年,鄉民代表,南投縣魚池鄉,99,200000,209900
39,99年,村長,南投縣鹿谷鄉,99,200005,220880
40,99年,里長,嘉義市,99,0,0
41,99年,里長,嘉義市,99,0,0
42,99年,里長,嘉義市,99,120000,178799
43,99年,里長,嘉義市,99,0,15115
44,99年,里長,嘉義市,99,70000,167360
45,99年,里長,嘉義市,99,0,0
46,99年,村長,嘉義縣中埔鄉,99,200002,240200
47,99年,鄉民代表,嘉義縣中埔鄉,99,0,587964
48,99年,鎮民代表,嘉義縣大林鎮,99,0,0
49,99年,鎮民代表,嘉義縣布袋鎮,99,400000,440550
50,99年,村長,嘉義縣梅山鄉,99,120001,149760
51,99年,村長,嘉義縣梅山鄉,99,0,0
52,99年,村長,嘉義縣民雄鄉,99,0,0
53,99年,鄉民代表,嘉義縣水上鄉,99,0,0
54,99年,鄉民代表,嘉義縣竹崎鄉,99,750000,1020773
55,99年,村長,嘉義縣義竹鄉,99,300000,298180
56,99年,村長,嘉義縣義竹鄉,99,400000,204215
57,99年,鄉民代表,嘉義縣義竹鄉,99,0,0
58,99年,鄉民代表,嘉義縣義竹鄉,99,450000,154884
59,99年,里長,基隆市,99,0,0
60,99年,里長,基隆市,99,18000,18000
61,99年,里長,基隆市,99,0,0
62,99年,里長,基隆市,99,32750,46670
63,99年,里長,基隆市,99,96804,179889
64,99年,里長,基隆市,99,0,0
65,99年,里長,基隆市,99,0,0
66,99年,里長,基隆市,99,0,0
67,99年,里長,基隆市,99,148803,171711
68,99年,里長,基隆市,99,0,0
69,99年,里長,基隆市,99,0,0
70,99年,里長,基隆市,99,0,0
71,99年,里長,基隆市,99,32800,91200
72,99年,里長,基隆市,99,0,0
73,99年,里長,基隆市,99,69003,120278
74,99年,里長,基隆市,99,0,24535
75,99年,里長,基隆市,99,20000,65700
76,99年,里長,基隆市,99,0,0
77,99年,里長,基隆市,99,0,0
78,99年,里長,基隆市,99,200000,214165
79,99年,鄉民代表,宜蘭縣三星鄉,99,0,0
80,99年,鄉民代表,宜蘭縣三星鄉,99,118000,164740
