election_id,year,term,title,main_type,sub_type,election_dt
20120101P1A1,2012,13,2012-第13任總統(副總統)選舉,總統,選舉,2012-01-14 00:00:00
20080301P1A1,2008,12,2008-第12任總統(副總統)選舉,總統,選舉,2008-03-22 00:00:00
20040301P1A1,2004,11,2004-第11任總統(副總統)選舉,總統,選舉,2004-03-20 00:00:00
20000301P1A1,2000,10,2000-第10任總統(副總統)選舉,總統,選舉,2000-03-18 00:00:00
19960301P1A1,1996,9,1996-第09任總統(副總統)選舉,總統,選舉,1996-03-23 00:00:00
20120101T1A2,2012,8,2012-第08屆立法委員選舉>區域,立法委員,選舉,2012-01-14 00:00:00
20120101T2A2,2012,8,2012-第08屆立法委員選舉>平原,立法委員,選舉,2012-01-14 00:00:00
20120101T3A2,2012,8,2012-第08屆立法委員選舉>山原,立法委員,選舉,2012-01-14 00:00:00
20120101T4A2,2012,8,2012-第08屆立法委員選舉>不分區政黨,立法委員,選舉,2012-01-14 00:00:00
20080101T1A2,2008,7,2008-第07屆立法委員選舉>區域,立法委員,選舉,2008-01-12 00:00:00
20080101T2A2,2008,7,2008-第07屆立法委員選舉>平原,立法委員,選舉,2008-01-12 00:00:00
20080101T3A2,2008,7,2008-第07屆立法委員選舉>山原,立法委員,選舉,2008-01-12 00:00:00
20080101T4A2,2008,7,2008-第07屆立法委員選舉>不分區政黨,立法委員,選舉,2008-01-12 00:00:00
20041201T1A2,2004,6,2004-第06屆立法委員選舉>區域,立法委員,選舉,2004-12-11 00:00:00
20041201T2A2,2004,6,2004-第06屆立法委員選舉>平原,立法委員,選舉,2004-12-11 00:00:00
20041201T3A2,2004,6,2004-第06屆立法委員選舉>山原,立法委員,選舉,2004-12-11 00:00:00
20011201T1A2,2001,5,2001-第05屆立法委員選舉>區域,立法委員,選舉,2001-12-01 00:00:00
20011201T2A2,2001,5,2001-第05屆立法委員選舉>平原,立法委員,選舉,2001-12-01 00:00:00
20011201T3A2,2001,5,2001-第05屆立法委員選舉>山原,立法委員,選舉,2001-12-01 00:00:00
19981201T1A2,1998,4,1998-第04屆立法委員選舉>區域,立法委員,選舉,1998-12-05 00:00:00
19981201T2A2,1998,4,1998-第04屆立法委員選舉>平原,立法委員,選舉,1998-12-05 00:00:00
19981201T3A2,1998,4,1998-第04屆立法委員選舉>山原,立法委員,選舉,1998-12-05 00:00:00
19951201T1A2,1995,3,1995-第03屆立法委員選舉>區域,立法委員,選舉,1995-12-02 00:00:00
19951201T2A2,1995,3,1995-第03屆立法委員選舉>平原,立法委員,選舉,1995-12-02 00:00:00
19951201T3A2,1995,3,1995-第03屆立法委員選舉>山原,立法委員,選舉,1995-12-02 00:00:00
20050501R1A9,1995,94,2005-94年任務型國大代表選舉,國大代表,選舉,2005-05-14 00:00:00
19960301R1A9,1996,3,1996-第03屆國大代表選舉>區域,國大代表,選舉,1996-03-23 00:00:00
19960301R2A9,1996,3,1996-第03屆國大代表選舉>平原,國大代表,選舉,1996-03-23 00:00:00
19960301R3A9,1996,3,1996-第03屆國大代表選舉>山原,國大代表,選舉,1996-03-23 00:00:00
20101101C1B1,1996,99,2010-99年直轄市長選舉,直轄市長,選舉,2010-11-27 00:00:00
20061201C1B1,1996,95,2006-95年直轄市長選舉,直轄市長,選舉,2006-12-09 00:00:00
20021201C1B1,1996,91,2002-91年直轄市長選舉,直轄市長,選舉,2002-12-07 00:00:00
19981201C1B1,1996,87,1998-87年直轄市長選舉,直轄市長,選舉,1998-12-05 00:00:00
19941201C1B1,1996,83,1994-83年直轄市長選舉,直轄市長,選舉,1994-12-03 00:00:00
20101101T1B2,1996,99,2010-99年直轄市議員選舉>區域,直轄市議員,選舉,2010-11-27 00:00:00
20101101T2B2,1996,99,2010-99年直轄市議員選舉>平地,直轄市議員,選舉,2010-11-27 00:00:00
20101101T3B2,1996,99,2010-99年直轄市議員選舉>山地,直轄市議員,選舉,2010-11-27 00:00:00
20061201T1B2,1996,95,2006-95年直轄市議員選舉>區域,直轄市議員,選舉,2006-12-09 00:00:00
20061201T2B2,1996,95,2006-95年直轄市議員選舉>原住民,直轄市議員,選舉,2006-12-09 00:00:00
20021201T1B2,1996,91,2002-91年直轄市議員選舉>區域,直轄市議員,選舉,2002-12-07 00:00:00
20021201T2B2,1996,91,2002-91年直轄市議員選舉>原住民,直轄市議員,選舉,2002-12-07 00:00:00
19981201B1B2,1996,87,1998-87年直轄市議員選舉>區域,直轄市議員,選舉,1998-12-05 00:00:00
19981201B2B2,1996,87,1998-87年直轄市議員選舉>原住民,直轄市議員,選舉,1998-12-05 00:00:00
19941201T1B2,1996,83,1994-83年直轄市議員選舉>區域,直轄市議員,選舉,1994-12-03 00:00:00
19941201T2B2,1996,83,1994-83年直轄市議員選舉>原住民,直轄市議員,選舉,1994-12-03 00:00:00
20101101V1B3,1996,99,2010-99年直轄市里長選舉,直轄市里長,選舉,2010-11-27 00:00:00
20091201C1C1,1996,98,2009-98年縣市長選舉,縣市長,選舉,2009-12-05 00:00:00
20051201C1C1,1996,94,2005-94年縣市長選舉,縣市長,選舉,2005-12-03 00:00:00
20011201C1C1,1996,90,2001-90年縣市長選舉,縣市長,選舉,2001-12-01 00:00:00
19971101C1C1,1996,86,1997-86年縣市長選舉,縣市長,選舉,1997-11-29 00:00:00
20091201T1C2,1996,98,2009-98年縣市議員選舉>區域,縣市議員,選舉,2009-12-05 00:00:00
20091201T2C2,1996,98,2009-98年縣市議員選舉>平原,縣市議員,選舉,2009-12-05 00:00:00
20091201T3C2,1996,98,2009-98年縣市議員選舉>山原,縣市議員,選舉,2009-12-05 00:00:00
20051201T1C2,1996,94,2005-94年縣市議員選舉>區域,縣市議員,選舉,2005-12-03 00:00:00
20051201T2C2,1996,94,2005-94年縣市議員選舉>平原,縣市議員,選舉,2005-12-03 00:00:00
20051201T3C2,1996,94,2005-94年縣市議員選舉>山原,縣市議員,選舉,2005-12-03 00:00:00
20020101T1C2,1996,91,2002-91年縣市議員選舉>區域,縣市議員,選舉,2002-01-26 00:00:00
20020101T2C2,1996,91,2002-91年縣市議員選舉>平原,縣市議員,選舉,2002-01-26 00:00:00
20020101T3C2,1996,91,2002-91年縣市議員選舉>山原,縣市議員,選舉,2002-01-26 00:00:00
19980101T1C2,1996,87,1998-87年縣市議員選舉>區域,縣市議員,選舉,1998-01-24 00:00:00
19980101T2C2,1996,87,1998-87年縣市議員選舉>平原,縣市議員,選舉,1998-01-24 00:00:00
19980101T3C2,1996,87,1998-87年縣市議員選舉>山原,縣市議員,選舉,1998-01-24 00:00:00
20091201D1D1,1996,98,2009-98年鄉鎮市長選舉,鄉鎮市長,選舉,2009-12-05 00:00:00
20051201D1D1,1996,94,2005-94年鄉鎮市長選舉,鄉鎮市長,選舉,2005-12-03 00:00:00
20020101D1D1,1996,91,2002-91年鄉鎮市長選舉,鄉鎮市長,選舉,2002-01-26 00:00:00
19980101D1D1,1996,87,1998-87年鄉鎮市長選舉,鄉鎮市長,選舉,1998-01-24 00:00:00
20100601C1D2,1996,99,2010-99年鄉鎮市民代表選舉,鄉鎮市民代表,選舉,2010-06-12 00:00:00
20100601S1E1,1996,99,2010-99年村里長選舉,村里長,選舉,2010-06-12 00:00:00
19941201F1F1,1996,83,1994-83年臺灣省長選舉,臺灣省長,選舉,1994-12-03 00:00:00
19941201J1F2,1996,83,1994-83年臺灣省議員選舉>區域,臺灣省議員,選舉,1994-12-03 00:00:00
19941201J2F2,1996,83,1994-83年臺灣省議員選舉>平原北區,臺灣省議員,選舉,1994-12-03 00:00:00
19941201J3F2,1996,83,1994-83年臺灣省議員選舉>平原南區,臺灣省議員,選舉,1994-12-03 00:00:00
19941201J4F2,1996,83,1994-83年臺灣省議員選舉>山原,臺灣省議員,選舉,1994-12-03 00:00:00
20100205T1A2,2010,7,2010-第7屆立委桃園縣第3選區補選,立委,補選,2010-02-27 00:00:00
20100101T1A2,2010,7,2010-第7屆立委桃園縣第2選區補選,立委,補選,2010-01-09 00:00:00
20100209T1A2,2010,7,2010-第7屆立委新竹縣補選,立委,補選,2010-02-27 00:00:00
20090304T1A2,2009,7,2009-第7屆立委苗栗縣第1選區補選,立委,補選,2009-03-14 00:00:00
20100110T1A2,2010,7,2010-第7屆立委臺中縣第3選區補選,立委,補選,2010-01-09 00:00:00
20091212T1A2,2009,7,2009-第7屆立委南投縣第1選區補選,立委,補選,2009-12-05 00:00:00
20090911T1A2,2009,7,2009-第7屆立委雲林縣第2選區補選,立委,補選,2009-09-26 00:00:00
20100208T1A2,2010,7,2010-第7屆立委嘉義縣第2選區補選,立委,補選,2010-02-27 00:00:00
20100107T1A2,2010,7,2010-第7屆立委臺東縣補選,立委,補選,2010-01-09 00:00:00
20100206T1A2,2010,7,2010-第7屆立委花蓮縣補選,立委,補選,2010-02-27 00:00:00
20090301T1A2,2009,7,2009-第7屆立委臺北市第6選區補選,立委,補選,2009-03-28 00:00:00
20130101L1A2,2013,8,2013-第8屆立委臺中市第2選區補選,立委,補選,2013-01-26 00:00:00
20110302T1A2,2011,7,2011-第7屆立委臺南市第4選區補選,立委,補選,2011-03-05 00:00:00
20110303T1A2,2011,7,2011-第7屆立委高雄市第4選區補選,立委,補選,2011-03-05 00:00:00
