區域,候選人,職務,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入,超過三萬元之收入合計,金錢收入總額,收入合計,非金錢收入總額,人事費用支出,宣傳支出,租用宣傳車輛支出,租用競選辦事處支出,集會支出,交通旅運支出,雜支支出,返還捐贈支出,繳庫支出,專戶存款結存金額,公共關係費用支出,支出合計,超過三萬元之支出合計,收支結存金額,金錢以外之賸餘財產,結算日期,申報日期,更正日期
基隆市 ,丁玉玲 ,None,0.0,0.0,200000.0,0.0,0.0,0.0,200000.0,200000.0,200000.0,0.0,0.0,131700.0,0.0,0.0,0.0,0.0,91690.0,0.0,0.0,0.0,7000.0,230390.0,0.0,-30390.0,0.0,None,None,None
基隆市 ,朱瑞祥 ,None,273300.0,0.0,0.0,0.0,0.0,0.0,0.0,273300.0,273300.0,0.0,95000.0,198000.0,55000.0,50000.0,47000.0,0.0,8900.0,0.0,0.0,0.0,0.0,453900.0,278000.0,-180600.0,0.0,None,None,None
基隆市 ,江鑒育 ,None,0.0,10000.0,50000.0,0.0,0.0,0.0,50000.0,60000.0,60000.0,0.0,268220.0,633736.0,0.0,60000.0,0.0,0.0,47676.0,0.0,0.0,0.0,0.0,1009632.0,469580.0,-949632.0,0.0,None,None,None
基隆市 ,何淑萍 ,None,220000.0,71000.0,50000.0,0.0,500.0,24.0,230000.0,341524.0,341524.0,0.0,42750.0,200572.0,58800.0,36000.0,27100.0,1346.0,145446.0,0.0,0.0,0.0,0.0,512014.0,80800.0,-170490.0,0.0,None,None,None
基隆市 ,呂美玲 ,None,172000.0,11000.0,50000.0,0.0,0.0,3.0,50000.0,233003.0,233003.0,0.0,10000.0,197520.0,14000.0,1596.0,83994.0,31350.0,168786.0,0.0,0.0,3.0,0.0,507246.0,131320.0,-274243.0,0.0,None,None,None
基隆市 ,宋瑋莉 ,None,38800.0,538000.0,50000.0,1000.0,0.0,0.0,550000.0,586000.0,627800.0,41800.0,0.0,338235.0,85000.0,120000.0,54850.0,50000.0,21719.0,0.0,0.0,0.0,450.0,670254.0,543750.0,-42454.0,0.0,None,None,None
基隆市 ,李振銘 ,None,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,30000.0,30000.0,0.0,0.0,0.0,36000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36000.0,0.0,-6000.0,0.0,None,None,None
基隆市 ,杜家輝 ,None,180000.0,60000.0,0.0,0.0,0.0,0.0,210000.0,240000.0,240000.0,0.0,140000.0,380198.0,70383.0,6000.0,30000.0,0.0,39088.0,0.0,0.0,0.0,0.0,665669.0,240874.0,-425669.0,0.0,None,None,None
基隆市 ,沈義傳 ,None,205000.0,190000.0,50000.0,10000.0,0.0,14.0,250000.0,437014.0,455014.0,18000.0,0.0,617130.0,79966.0,98950.0,0.0,0.0,198650.0,0.0,0.0,0.0,0.0,994696.0,437000.0,-539682.0,0.0,None,None,None
基隆市 ,林弘和 ,None,100000.0,110000.0,50000.0,0.0,0.0,3.0,250000.0,260003.0,260003.0,0.0,0.0,1364138.0,0.0,0.0,0.0,8229.0,88715.0,0.0,0.0,3.0,0.0,1461082.0,1340000.0,-1201079.0,0.0,None,None,None
基隆市 ,林旭日 ,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None
