vote_id,election_id,r1,r2,r3,r4,r5,r6,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,income,cost,area,no,name,gender,birth_year,sec_name,sec_gender,sec_birth_year,party,vote_cnt,vote_rate,elect_ind,incumbent_ind,year,term,title,main_type,sub_type,leader_ind,position_level
2,20100601S1E1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,基隆市仁愛區智仁里,1,郭子龍,M,1953,"","",,無,297,0.3383,f,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
3,20100601S1E1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,南投縣仁愛鄉力行村,1,林忠正,M,1951,"","",,中國國民黨,195,0.5387,t,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
4,20100601S1E1,57600,10000,0,0,0,0,9000,46740,22000,8000,5000,0,8000,0,0,0,67600,98740,南投縣仁愛鄉發祥村,2,林水木,M,1952,"","",,中國國民黨,237,0.4647,f,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
5,20100601S1E1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,南投縣仁愛鄉發祥村,1,江志偉,M,1976,"","",,中國國民黨,273,0.5353,t,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
6,20100601S1E1,29000,35000,0,0,0,0,0,65700,0,0,0,0,0,0,0,0,64000,65700,南投縣仁愛鄉親愛村,4,洪文全,M,1968,"","",,中國國民黨,266,0.3296,t,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
16,20100601S1E1,31000,0,0,0,4000,0,5000,28260,8000,0,0,4100,12000,0,0,0,35000,57360,南投縣信義鄉望美村,1,田美玉,F,1960,"","",,中國國民黨,433,0.4043,t,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
21,20100601S1E1,49000,0,0,0,2000,0,0,19500,0,0,0,0,34000,0,0,0,51000,53500,南投縣國姓鄉福龜村,3,胡水發,M,1952,"","",,中國國民黨,367,0.2733,f,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
32,20100601S1E1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,南投縣草屯鎮山腳里,1,陳家財,M,1965,"","",,中國國民黨,1512,0.554,t,t,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
35,20100601S1E1,200000,0,0,0,0,0,0,0,0,0,0,0,214100,0,0,0,200000,214100,南投縣魚池鄉新城村,1,劉燕聰,M,1955,"","",,民主進步黨,633,0.6394,t,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
39,20100601S1E1,200000,0,0,0,0,5,140000,58000,0,0,0,0,22880,0,0,0,200005,220880,南投縣鹿谷鄉秀峰村,2,林茂延,M,1954,"","",,中國國民黨,364,0.5237,t,t,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
40,20100601S1E1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,嘉義市西區劉厝里,3,許明對,M,1972,"","",,民主進步黨,682,0.2928,f,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
41,20100601S1E1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,嘉義市西區番社里,1,賴永收,M,1957,"","",,無,321,0.3014,f,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
42,20100601S1E1,120000,0,0,0,0,0,0,82975,0,0,0,13987,81837,0,0,0,120000,178799,嘉義市西區保生里,6,郭瑞豐,M,1957,"","",,無,108,0.0622,f,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
43,20100601S1E1,0,0,0,0,0,0,0,7104,0,0,0,0,8011,0,0,0,0,15115,嘉義市東區興安里,1,鄭聖安,M,1962,"","",,無,65,0.0662,f,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
44,20100601S1E1,70000,0,0,0,0,0,0,53230,0,0,55350,3144,54386,0,0,1250,70000,167360,嘉義市東區仁義里,1,陳怡錦,F,1962,"","",,無,354,0.4307,f,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
45,20100601S1E1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,嘉義市西區保生里,8,陳炎明,M,1956,"","",,中國國民黨,129,0.0744,f,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
46,20100601S1E1,200000,0,0,0,0,2,0,110000,0,0,49000,0,20700,0,0,60500,200002,240200,嘉義縣中埔鄉和興村,2,劉富錡,M,1949,"","",,無,804,0.4509,f,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
50,20100601S1E1,60000,60000,0,0,0,1,0,46480,0,0,8000,0,95280,0,0,0,120001,149760,嘉義縣梅山鄉大南村,1,廖水永,M,1946,"","",,無,220,0.1743,f,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
51,20100601S1E1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,嘉義縣梅山鄉大南村,3,曹秋田,M,1947,"","",,無,117,0.0927,f,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
52,20100601S1E1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,嘉義縣民雄鄉東湖村,2,王再添,M,1953,"","",,無,393,0.3586,f,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
55,20100601S1E1,300000,0,0,0,0,0,21000,25000,0,0,22050,0,230130,0,0,0,300000,298180,嘉義縣義竹鄉埤前村,1,呂權智,M,1950,"","",,中國國民黨,365,0.5134,t,t,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
56,20100601S1E1,400000,0,0,0,0,0,0,79300,0,0,50520,0,74395,0,0,0,400000,204215,嘉義縣義竹鄉義竹村,2,翁山鳳,M,1946,"","",,無,664,0.5385,t,t,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
59,20100601S1E1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,基隆市仁愛區德厚里,2,劉秋英,F,1952,"","",,無,379,0.4317,f,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
60,20100601S1E1,18000,0,0,0,0,0,0,3000,0,0,15000,0,0,0,0,0,18000,18000,基隆市信義區信綠里,1,吳銘達,M,1951,"","",,中國國民黨,637,1,t,t,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
61,20100601S1E1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,基隆市中正區新富里,1,張建凱,M,1957,"","",,中國國民黨,470,0.269,f,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
62,20100601S1E1,32750,0,0,0,0,0,0,35700,0,5550,5400,0,20,0,0,0,32750,46670,基隆市中正區砂灣里,2,張榮妹,F,1953,"","",,中國國民黨,326,0.3184,f,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
63,20100601S1E1,85400,0,0,0,11400,4,0,92100,0,15500,21100,0,51189,0,0,0,96804,179889,基隆市中山區協和里,3,張榮華,M,1948,"","",,無,427,0.4621,t,t,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
63,20100601S1E1,85400,0,0,0,11400,4,0,92100,0,15500,21100,0,51189,0,0,0,96804,179889,臺東縣台東市豐田里,2,張榮華,M,1970,"","",,中國國民黨,393,0.349,f,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
64,20100601S1E1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,基隆市中正區建國里,1,曾世芳,M,1960,"","",,無,335,0.3552,f,f,1996,99,2010-99年村里長選舉,村里長,選舉,1,10
