選舉類型,擬參選人,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入,人事費用支出,宣傳支出,租用宣傳車輛支出,租用競選辦事處支出,集會支出,交通旅運支出,雜支支出,返還捐贈支出,繳庫支出,公共關係費用支出
99南投縣仁愛鄉鄉民代表,林秋菊,0,0,0,0,0,0,0,38600,0,0,0,0,0,0,0,0
99基隆市里長,郭子龍,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年南投縣仁愛鄉村長,林忠正,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年南投縣仁愛鄉村長,林水木,57600,10000,0,0,0,0,9000,46740,22000,8000,5000,0,8000,0,0,0
99年南投縣仁愛鄉村長,江志偉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年南投縣仁愛鄉村長,洪文全,29000,35000,0,0,0,0,0,65700,0,0,0,0,0,0,0,0
99年南投縣仁愛鄉鄉民代表,何進財,0,0,0,0,0,0,0,0,0,0,480,11349,0,0,0,0
99年南投縣仁愛鄉鄉民代表,劉金皇,0,0,0,0,0,0,0,54800,0,0,0,0,37000,0,0,0
99年南投縣仁愛鄉鄉民代表,巫人龍,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年南投縣仁愛鄉鄉民代表,廖文賢,0,0,0,0,0,0,10000,41628,0,10000,0,7388,28656,0,0,0
99年南投縣仁愛鄉鄉民代表,潘佩琪,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年南投縣仁愛鄉鄉民代表,潘明吉,0,0,0,0,0,0,0,78958,0,0,5680,4610,52658,0,0,0
99年南投縣仁愛鄉鄉民代表,賴力行,0,0,0,0,0,0,0,179600,0,0,0,14842,0,0,0,0
99年南投縣仁愛鄉鄉民代表,錢文傑,20300,0,0,0,0,0,0,19375,0,0,0,0,925,0,0,0
99年南投縣仁愛鄉鄉民代表,陳秀惠,0,0,0,0,0,0,0,3500,0,0,6109,11455,13087,0,0,0
99年南投縣信義鄉村長,田美玉,31000,0,0,0,4000,0,5000,28260,8000,0,0,4100,12000,0,0,0
99年南投縣信義鄉鄉民代表,田振明,99200,0,0,0,0,0,15000,27000,0,0,0,20199,77402,0,0,0
99年南投縣南投市市民代表,劉宜成,84000,0,0,0,0,0,0,108676,0,0,0,11543,65418,0,0,0
99年南投縣南投市市民代表,張秀枝,6000,200000,0,0,0,3,0,171664,0,0,31500,0,27601,0,0,0
99年南投縣南投市市民代表,洪志杰,326800,1000,0,0,2600,14,95600,145082,49200,12000,40748,3740,25328,0,0,2500
99年南投縣國姓鄉村長,胡水發,49000,0,0,0,2000,0,0,19500,0,0,0,0,34000,0,0,0
99年南投縣國姓鄉鄉民代表,彭國珍,251000,0,0,0,0,0,15750,180840,0,0,13670,370,208209,0,0,0
99年南投縣國姓鄉鄉民代表,曾明雪,0,0,0,0,0,0,0,101800,0,0,75200,4550,40680,0,0,0
99年南投縣埔里鎮鎮民代表,吳淇淞,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年南投縣埔里鎮鎮民代表,張晉維,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年南投縣埔里鎮鎮民代表,彭志杰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年南投縣埔里鎮鎮民代表,林釧儀,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年南投縣埔里鎮鎮民代表,羅世源,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年南投縣埔里鎮鎮民代表,黃世芳,338600,113509,0,0,27200,0,255168,261809,0,0,0,1016,12617,0,0,0
99年南投縣竹山鎮鎮民代表,張彩珠,380000,0,0,0,0,0,0,245500,0,0,0,0,163569,0,0,0
99年南投縣竹山鎮鎮民代表,蔡孟娥,634950,10000,0,0,0,0,0,414256,0,0,4150,4596,222691,0,0,0
99年南投縣草屯鎮里長,陳家財,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年南投縣草屯鎮鎮民代表,林金潭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年南投縣草屯鎮鎮民代表,莊清南,225000,0,0,0,0,2,0,228062,120000,26100,0,29600,136559,0,0,0
99年南投縣魚池鄉村長,劉燕聰,200000,0,0,0,0,0,0,0,0,0,0,0,214100,0,0,0
99年南投縣魚池鄉鄉民代表,沈明昌,200000,0,0,0,0,0,60000,71500,0,0,0,5940,127417,0,0,0
99年南投縣魚池鄉鄉民代表,許慶華,34000,0,0,0,0,0,0,14542,0,0,16000,0,14815,0,0,0
99年南投縣魚池鄉鄉民代表,黃順昱,200000,0,0,0,0,0,180000,29900,0,0,0,0,0,0,0,0
99年南投縣鹿谷鄉村長,林茂延,200000,0,0,0,0,5,140000,58000,0,0,0,0,22880,0,0,0
99年嘉義市里長,許明對,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年嘉義市里長,賴永收,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年嘉義市里長,郭瑞豐,120000,0,0,0,0,0,0,82975,0,0,0,13987,81837,0,0,0
99年嘉義市里長,鄭聖安,0,0,0,0,0,0,0,7104,0,0,0,0,8011,0,0,0
99年嘉義市里長,陳怡錦,70000,0,0,0,0,0,0,53230,0,0,55350,3144,54386,0,0,1250
99年嘉義市里長,陳炎明,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年嘉義縣中埔鄉村長,劉富錡,200000,0,0,0,0,2,0,110000,0,0,49000,0,20700,0,0,60500
99年嘉義縣中埔鄉鄉民代表,何韻定,0,0,0,0,0,0,295400,108533,0,0,6000,21818,156213,0,0,0
99年嘉義縣大林鎮鎮民代表,陳政義,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年嘉義縣布袋鎮鎮民代表,蕭震穎,300000,100000,0,0,0,0,200000,94800,0,0,0,0,145750,0,0,0
99年嘉義縣梅山鄉村長,廖水永,60000,60000,0,0,0,1,0,46480,0,0,8000,0,95280,0,0,0
99年嘉義縣梅山鄉村長,曹秋田,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99年嘉義縣民雄鄉村長,王再添,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
